,rms_IBI,mean_IBI,std_IBI,skew_IBI,kur_IBI,mean+-std_IBI,mean_HR,std_HR,HRV,skew_HR,kur_HR,mean+-std_HR,low,mid,high,LF/HF,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,sp 0-6,arousal,valence
1_1_left,0.6755622594892109,0.6746122262773723,0.03581494943812385,1.1044572073060677,2.292513396570901,30.65693430656934,1.4863209894834841,0.07540715718059857,0.005686239354059499,-0.6577545164480466,1.1303665123152182,30.65693430656934,0.004700760868501078,0.0016051883934180035,0.0006473743052467385,7.261271926307676,0.01985973140106366,3.784367810901721,17.6999157360872,34.94715312806622,41.297921840901,57.378388971019376,89.84996330770657,111.78887552616737,116.12740853168619,124.37238157244994,134.464936148658,144.44680712323355,150.19330640505746,155.65300610533257,160.46136908297728,161.366528864594,160.66212648352115,160.64252831613885,160.5874861196818,160.562094828027,160.5487859227847,160.53790732111455,160.527594270266,160.5194933757917,160.48888171711783,160.45321674738375,160.4133227061113,160.2377146293759,158.38754408291044,154.45628101241527,146.63304614003675,139.348406734508,132.47203899159354,130.04050162334212,129.71874700083356,129.5560649972393,129.50846849513962,129.48887245209696,129.47254249726308,129.4240510819261,129.38441556667738,129.3021653548125,128.9289012041322,128.42240617964663,127.6126443769261,127.1176973389719,126.15018549972746,125.58051074268724,124.34812485099188,123.41182405827988,123.03125780336389,122.8817713089632,122.78617212144668,122.73271382500491,122.59734268381413,122.30516345289661,120.52413800648657,118.19307475631871,116.81329247395857,111.95406150161921,2.9386,5.0
1_1_right,0.6731740592444794,0.6724452554744526,0.03131600915806511,0.46668931218130305,0.4126041249068986,34.306569343065696,1.4902875962358524,0.06838668859492095,0.004676739176978691,-0.1764979592544056,0.04691417175852797,34.306569343065696,0.004758430740038455,0.0015467878591594163,0.0006647216849348652,7.158530927879576,0.009217688306810749,9.113554335584114,55.67192786541769,115.58674341647176,341.9454743105886,477.36761445017714,686.3610449334211,989.2536019005643,1131.5960746218786,1307.9007026922277,1475.4710015575574,1626.9905126758604,1757.051893690264,1863.6893529307517,1945.7164537553272,2007.5924007689948,2048.2075199890955,2073.543274741004,2088.971513676446,2098.1837313840847,2102.740173647584,2104.889479936692,2106.3269703832307,2106.95311147038,2107.2083823571766,2107.3416127241353,2107.3207736629633,2106.580940589917,2100.5589964280357,2087.6119708082997,2061.0741575011857,2036.1063221885333,2011.2929433517866,2003.7155310870926,2002.866000300858,2002.3027958276382,2002.1014352936133,2002.0335489125798,2001.9612342620596,2001.6872552299903,2001.1652235697445,1999.5513706704019,1988.2009063144783,1965.910921013411,1927.315810834607,1902.5726070517785,1855.1680272575443,1826.1498356067343,1793.6274196913043,1778.448417748128,1774.8050366035234,1773.467064521832,1772.7004926978068,1772.1803063445523,1770.6004599006985,1767.088470439548,1747.9147573645496,1724.180454346936,1712.7921389315197,1670.2218072648402,2.9386,5.0
1_2_left,0.6585528393495861,0.6580171130952381,0.026557881866037882,0.13677649047155985,-0.5027721748756582,35.71428571428571,1.5221892222502122,0.06131975965315799,0.003760112923921062,0.04302240929514489,-0.49681275721687346,35.71428571428571,0.0050799726035076756,0.0007740379425164818,0.00022576684517804072,22.5009681979725,0.012512632719649081,3.9381901248497533,15.289304221005596,37.1584431399198,43.06858422524283,56.69419140354208,85.93494970092476,108.30756881530414,113.20914062483902,118.49913010971024,130.0763398477476,139.03438053185894,143.64316187078745,148.6886026955725,153.3117179071498,153.6791717395445,152.37760151414926,151.91637115844415,151.86267584829676,151.8587810133199,151.8545276110536,151.85165074483976,151.8453961597004,151.83712315028674,151.8279971902069,151.8095898699104,151.78862096943246,151.76276713437508,151.60315292032718,149.9168326515433,140.50303937917326,131.4143929502251,124.94271986358474,120.03638417949654,118.85538587302543,118.72471319030602,118.69737161276664,118.68622155430063,118.67152013951423,118.65141520931331,118.63278930218557,118.59991374990304,118.5651288916031,118.40809216805428,117.53302770712486,116.81001334489014,116.38278475772732,114.73053318090615,113.92635531208884,113.27990343177028,112.72180606055453,112.56183928632113,112.52685139943779,112.5077340560283,112.48601377523035,112.4322464500224,112.34059264741734,112.1091318993593,109.9058945916526,103.9664756054935,4.8771,6.5427
1_2_right,0.658441944142233,0.6579241071428571,0.02610867760109283,0.1059207468116511,-0.6564393043751933,32.14285714285714,1.5223244507415015,0.06034871432863079,0.003641967321118687,0.05456935778301114,-0.6281629845320431,32.14285714285714,0.005119585946055952,0.0007137949386517837,0.00025686549874318515,19.930998795500084,0.021195266358041906,11.44581620176893,49.354855729576265,133.61295200921552,375.10750360805366,495.1728008140641,725.848180817079,1032.5414740088768,1198.3135377056367,1366.398989687662,1559.223308592355,1721.2094793065755,1833.6741772637063,1947.7658498069623,2050.8090218541524,2103.2547946751097,2136.549896248124,2168.1646713970067,2182.920822231335,2191.552827527437,2197.2389185280945,2199.4848006475113,2200.754355312043,2201.5331037970154,2201.8189532203064,2201.969295541173,2202.0102059997507,2201.9546685657556,2201.580896056648,2196.033216296648,2164.3194102488524,2129.844120281777,2105.6865091610216,2085.520285941367,2080.921413889766,2080.406361871836,2080.3380010528285,2080.2774688752625,2080.2361772013255,2080.2125721485436,2080.0672612847334,2079.7024489006285,2079.107199084383,2074.1228909773304,2036.6100997897097,1998.9957604446286,1971.9412342813337,1912.1693145702338,1879.8030432645294,1855.2570477434995,1838.5715911881123,1834.9441402280324,1834.5312198632766,1834.3804471587318,1834.3022858815712,1833.788565847568,1832.979408456674,1830.6852367554388,1810.9322507506406,1760.1770046174188,4.8771,6.5427
1_3_left,0.6598730439122599,0.6592646059782609,0.028330432159776393,0.21899153647595085,-0.3202581030724976,26.086956521739136,1.5196299403800084,0.0649813385081834,0.004222574354315118,-0.012237933663597239,-0.40901267998031576,36.95652173913043,0.004766136388446111,0.0012422418353901451,0.0003060929342239699,15.57088013328234,0.04322699256079755,2.993105726584259,15.131420421038493,28.440511017069365,34.763348247943604,48.990633119075255,70.11035426392509,89.9439207523697,93.76041583148755,98.54128341738829,108.56933767036429,115.18809692387418,119.32022763745759,123.91813662835233,126.87658583088857,127.95228663234685,126.93384129914804,126.7895003513421,126.77711988278001,126.7630551235297,126.75850563640124,126.75305363899471,126.74516694567123,126.73256021674901,126.71160155308121,126.66918044817571,126.58731975751938,126.45969378115603,125.50340437634786,122.50949837589471,114.61983742220445,109.26326882528855,105.06093734766011,102.0777972857632,101.60754016875535,101.42271549390574,101.38810551817885,101.36879396468855,101.35963570377605,101.34500436617456,101.30999677545401,101.1146769146453,100.75772103110481,100.17023930353045,99.3366626608564,97.93828412082651,97.20846954881273,96.19117819383591,95.65470362940464,95.12542163209349,94.98536079838503,94.82869587985587,94.80470006516416,94.76280183832618,94.69307016152726,94.43403902496988,93.6742770971757,92.39163332370855,90.45925447110642,87.3143520698156,5.0,3.2389
1_3_right,0.6598460339732329,0.659238387978142,0.028311417594065094,0.23928941092036535,-0.29519539715535714,26.22950819672131,1.5196845097910332,0.06488870205215073,0.004210543654012792,-0.03120161371867744,-0.4011130580011484,35.5191256830601,0.0047274438818984636,0.0012477486693725584,0.00029927311238524615,15.79642034735467,0.030731650400086033,10.09023694265759,60.70032541951935,119.27672555723464,361.053192110167,515.6514716755335,701.2430791095189,994.0357352841081,1170.1948525799462,1332.3221023158553,1521.970117790573,1672.2981846444118,1794.7958110976967,1912.446116209419,1994.9340000474033,2056.707314894111,2096.5842650212426,2121.836925337732,2137.245504061612,2146.4631680081384,2150.9613633425624,2153.4996549956736,2154.643185252485,2155.2514874932917,2155.5354384569737,2155.6242047371716,2155.5980410097027,2155.156166112932,2151.1406007776463,2138.8555074675046,2105.5089964588633,2082.812792569111,2064.5899602168442,2050.195771710491,2048.3685062025875,2047.6852475156045,2047.5408318734926,2047.4315469776855,2047.331170962896,2047.172747042573,2046.9381316355027,2044.3149558185162,2034.7676636148167,2015.2956056807418,1984.3103217422793,1923.972554665368,1899.9643959576745,1858.356543087083,1835.748626632426,1810.8309110351724,1805.1608288139605,1802.650412486078,1802.1421103184557,1801.6959515716987,1800.792992917572,1797.0616069441608,1786.9419879429604,1769.984116798494,1750.0401573851912,1714.9777650754386,5.0,3.2389
1_4_left,0.6373052352363214,0.636780753968254,0.02585022698633464,0.12036465686474286,0.5372668236076028,30.15873015873016,1.5729895477115008,0.06394126327044933,0.004088485148620912,0.18647880932387198,0.5663809335272179,30.15873015873016,0.0010045954341254236,0.0013662881675096245,0.00036162804266153784,2.777979900927276,0.21096099376747693,4.665166317380126,7.555729672362654,39.29023435510461,49.29443637011798,52.3123933683895,98.51817690703564,118.62473290139278,123.93730608535422,132.2459713010377,141.25901591194273,152.03180317522174,160.8852066340027,165.55598066298631,171.2683391338884,174.0847312981107,171.56580492415873,171.45643052038596,171.41358924246728,171.39778481240083,171.38234153774533,171.3674246889224,171.33655870218666,171.31182214512964,171.2813142084842,171.2466602580784,171.2143450053971,171.1765310215194,171.095112951749,170.65595430623796,168.48725217754938,158.84935155224667,144.02258867693757,138.53643810552077,137.1331695561347,136.95043186343386,136.86299114092543,136.83162022065648,136.78023363425928,136.77215138714885,136.7439529307986,136.72317523075498,136.71205976692562,136.61668161066336,136.46982750489636,136.0072820857055,134.74416128844672,131.80244971809108,129.4641890803925,127.36429937726597,126.72048285046287,126.6085985523697,126.56813580812309,126.54600955391493,126.46484052544204,126.4116400029586,126.37713049877935,126.337194690525,125.98961323259338,125.34851260517085,2.9659,8.5904
1_4_right,0.6356380889821901,0.6351066468253969,0.025987060686642117,-0.14498664678558462,0.18774318391709688,24.603174603174605,1.5772049492372007,0.0652822441343988,0.004261771399223247,0.4158447501634572,0.3978337134830032,24.603174603174605,0.0010209364919350006,0.0013246881881887492,0.00035667078110285,2.8624057422875975,2.3047147175608327,15.077853930349612,24.059972540964743,147.91103984169183,429.41612791499455,453.1962610375017,794.1450306847588,1073.6421885872483,1193.773012660182,1453.1031858448696,1590.9648360742428,1760.3751934514942,1937.274005324702,2022.6063707242956,2127.644266884683,2197.2265821846095,2233.6670084453567,2266.1228005266867,2281.3581663679934,2292.0043376820813,2297.5294048874393,2299.8477657911694,2301.3384293356085,2302.0967669015513,2302.445350518695,2302.5701073148803,2302.474767662194,2302.185538835495,2301.8330640013096,2300.760528580015,2293.9126763307836,2260.3397291293677,2200.4587222972696,2175.9609489879135,2171.9629944057165,2170.7653292523,2170.3582704740256,2170.2176448481896,2169.9474120403797,2169.9160067885623,2169.7540044475063,2169.4437839105235,2169.0155225927156,2168.040438033122,2164.408352181755,2155.133523781764,2128.168972830871,2036.0415794941198,1963.0112947706184,1902.4955150644653,1887.763925433676,1886.1210326184744,1885.2217818437305,1884.8522018083725,1884.5959789905453,1884.387132608412,1884.2250215580518,1883.7760008456548,1881.1736361289688,1876.2323857810613,2.9659,8.5904
1_5_left,0.6640914982658771,0.6633104946524064,0.03219791535173197,0.1988760100416734,-0.5894075403669068,28.877005347593588,1.5111277494250586,0.07301368827047941,0.005330998674858742,0.012015047392441752,-0.45375027098397736,28.877005347593588,0.0017302518991606389,0.001114232722870242,0.0004138597956127216,4.180768263800527,0.06523832133649927,4.480507345244496,12.048938852981845,43.150611673568946,56.55722044535708,70.75098099960489,120.05304519331034,158.0237440402359,164.30935214174113,179.65129669907788,201.2557977825212,212.64291755070676,226.50830518371072,236.04752882885336,244.05566372482082,249.7434900037727,248.39523903580502,248.83782015675527,248.86031073793015,248.85284788269345,248.8465872595311,248.83252745794644,248.81253417930165,248.80271887256765,248.78402373771803,248.7721907411768,248.73073434244455,248.6558988052933,247.92303149878632,245.16776217854715,241.27721336025476,228.5311442985832,212.99497132778038,211.04906439215074,210.34912203158268,210.28368190459744,210.26281015212786,210.22864484371576,210.21647869559644,210.20760327144745,210.17002424877015,210.094664497034,209.6278537853805,208.48180684438958,208.11521957670354,206.19843040571686,204.9159546338122,199.52322995752522,197.6627741985983,196.96329371026346,196.75325949088648,196.65176888031354,196.563962524896,196.44642177554908,196.3183394423184,196.08686487127966,194.65294874181572,192.75246447512322,191.61447826824673,189.74741885461134,6.4608,1.0
1_5_right,0.6645127644121671,0.6637684811827957,0.03144228768688533,0.33378348997399077,-0.7227188335852612,36.55913978494624,1.5098932755940007,0.07068484398271284,0.004996347168860456,-0.16579256872021803,-0.7552407492081015,36.55913978494624,0.001691960579190369,0.0010611889202614617,0.000363280275531309,4.657452367089908,0.5888302824562578,11.845631741767146,35.26290865081077,137.0976471944816,386.5118040960868,475.59982825161353,745.4527308863231,1093.5820843419606,1199.863248008053,1426.3216314132524,1638.847132451317,1754.8756786757463,1917.3937028048338,2022.429940514624,2111.6641826779373,2193.290570834004,2225.419398389871,2254.191765462066,2274.1437991083585,2282.8829304538885,2288.1210172871233,2290.9814984919476,2292.27388442659,2292.9384356743294,2293.2377189137674,2293.347874078482,2293.3473396540335,2293.2067928700462,2290.856688385495,2283.2546378270804,2270.4520855310047,2228.822966509053,2179.53628602331,2172.368615127808,2170.5297184476512,2169.8918578026532,2169.6611127257493,2169.3208940382715,2169.106976676407,2168.772752849188,2168.5554602218467,2167.63207573504,2161.9429183437687,2146.1808933937773,2139.6563568020333,2102.686344729885,2073.5597339440774,1965.0038152118357,1935.90916290304,1923.011401296386,1919.050916445395,1917.8373420379412,1917.0591322943746,1916.281510291475,1915.649664458518,1914.2978571627489,1905.2811136630298,1891.6641588185685,1884.1421176671577,1872.4806580424276,6.4608,1.0
