,rms_IBI,mean_IBI,std_IBI,skew_IBI,kur_IBI,mean+-std_IBI,mean_HR,std_HR,HRV,skew_HR,kur_HR,mean+-std_HR,low,mid,high,LF/HF,sp 0-6,sp 0-6.1,sp 0-6.2,sp 0-6.3,sp 0-6.4,sp 0-6.5,sp 0-6.6,sp 0-6.7,sp 0-6.8,sp 0-6.9,sp 0-6.10,sp 0-6.11,sp 0-6.12,sp 0-6.13,sp 0-6.14,sp 0-6.15,sp 0-6.16,sp 0-6.17,sp 0-6.18,sp 0-6.19,sp 0-6.20,sp 0-6.21,sp 0-6.22,sp 0-6.23,sp 0-6.24,sp 0-6.25,sp 0-6.26,sp 0-6.27,sp 0-6.28,sp 0-6.29,sp 0-6.30,sp 0-6.31,sp 0-6.32,sp 0-6.33,sp 0-6.34,sp 0-6.35,sp 0-6.36,sp 0-6.37,sp 0-6.38,sp 0-6.39,sp 0-6.40,sp 0-6.41,sp 0-6.42,sp 0-6.43,sp 0-6.44,sp 0-6.45,sp 0-6.46,sp 0-6.47,sp 0-6.48,sp 0-6.49,sp 0-6.50,sp 0-6.51,sp 0-6.52,sp 0-6.53,sp 0-6.54,sp 0-6.55,sp 0-6.56,sp 0-6.57,sp 0-6.58,sp 0-6.59,arousal,valence
1_1,-0.20759620306139634,-0.20461055141298048,-0.15296427779305033,0.2460098892702715,0.05411828212848065,0.08512863996189433,0.07691682799053307,-0.004960621368665818,-0.0019923702387244233,-0.20352383716135014,-0.030016212352114765,0.11589112997912586,-0.001987352345048594,-0.0020657301904219013,-0.0019605674424487897,5.386537237619357e-05,-0.05570725925450479,-3.3850504857268513,-3.140007806777572,-2.8342578485750645,-2.533161349834671,-2.1746814061883715,-1.5102828028731947,-0.9121946098780245,-0.7178451083499175,-0.43542804922275363,-0.13423998375349805,0.1505299966134855,0.3539936731105678,0.5316782095371105,0.6771950298158517,0.7474352925451831,0.7746832624773443,0.7977770298289348,0.8112139962101694,0.8193457669597836,0.8233569171323303,0.8251821940402271,0.826358861308027,0.8268189871256332,0.8266099944834427,0.8262150058173747,0.8256164362896425,0.8223835841775378,0.7899587432723031,0.7209222543142606,0.5828258369278301,0.45399957685258263,0.33124475296706635,0.28894201890570037,0.28348560695156816,0.28060344968022943,0.27972645038368216,0.27937923541788634,0.2790753643663812,0.27811836100142145,0.277061074192981,0.2743774680433929,0.25848338063480014,0.2305601589693138,0.18318747566076019,0.15316826525781735,0.0953758692890719,0.06032675253328457,0.01242026252588737,-0.015182984813581775,-0.024071461868501412,-0.027476905039267918,-0.029572542686076196,-0.03082886089545836,-0.034252508892709845,-0.04173619074764287,-0.08529260087116598,-0.1410448977069535,-0.17159054745762742,-0.28143764346195954,2.9386,5.0
1_2,-0.23405848496501258,-0.2304840375148226,-0.2044607396165374,0.09078553216677862,-0.09354715926897737,0.13233493123752885,0.09040919897931274,-0.006026910718346116,-0.001999290350683704,-0.12352206020485923,-0.055696037260228266,0.15569459700948768,-0.001972593626265314,-0.0021159426307943447,-0.0019652829235459334,0.18340665021235922,-0.0555477547083914,-3.374585735801234,-3.1663585525531506,-2.755250409713195,-2.4504913641937724,-2.134525187119706,-1.4803507746351832,-0.8645524192614733,-0.64235682265917,-0.41213627415895204,-0.06326887207875759,0.21799271308738788,0.38848498407321636,0.5671367696324203,0.7295078273461748,0.7815971684808383,0.791048868794592,0.811943356523829,0.8241821551156214,0.8317649590727524,0.8367339476907352,0.8386781734960337,0.8397059899075106,0.8402681909038491,0.8403808569197254,0.8402307307803529,0.839944298473597,0.8394973058505509,0.8367103418137495,0.8058505809205254,0.6329187138353771,0.4625449662157721,0.3415745272963612,0.24822431958989016,0.2259801560298386,0.22351343509675503,0.2230321964102104,0.2228070325104327,0.22254425836347458,0.22221399848932694,0.2217987390250713,0.22096987079942765,0.21990759539407906,0.21307814646600076,0.16639964949840247,0.12197087887902722,0.09144305156390067,0.013097640768129581,-0.027933401475825625,-0.059613437109262674,-0.08297425529692987,-0.08864743510302975,-0.08955140096915855,-0.08997905818511956,-0.09038247771367838,-0.09166465547890788,-0.0937913816429039,-0.09938417996933732,-0.1507751931446266,-0.28710510685155755,4.8771,6.5427
1_3,-0.23178729531761516,-0.22835389676293785,-0.19030782647715774,0.11597568677228183,-0.07276883993574244,-0.12119279845734263,0.0893761417229623,-0.005631652135804476,-0.001996880643876165,-0.13563004482863772,-0.05218413785650397,0.21922445716187955,-0.001986666830122425,-0.002085704382826614,-0.001964585185365825,0.11098320558428322,-0.05416125103975081,-3.392936608724237,-3.1223972514952916,-2.82297287695068,-2.487173539470953,-2.0838808532391395,-1.524928603882976,-0.892810725979056,-0.6627803606497876,-0.4275875864950605,-0.070340377261911,0.18820881130832406,0.37553825698147125,0.5671069463691493,0.6965092447739585,0.7723107471846815,0.7895280662245215,0.8097004389773892,0.8234106865777212,0.831489090312292,0.8354741774672194,0.837669512113633,0.838557984301731,0.8388748616914508,0.838743666799171,0.8380384953612152,0.8364990832998247,0.8337361992325021,0.8123967130759311,0.7458473713217788,0.5695942458129577,0.4498790570946863,0.35558273712728466,0.287324730112538,0.27696434075588205,0.27292398873929846,0.2721524993832485,0.2716960588307577,0.271435677407159,0.27102144233521835,0.2701609907983396,0.26417134806619436,0.2489248787527567,0.2204314504003607,0.17696577167003996,0.09648820666521364,0.061255707983598,0.004778558138091013,-0.02560729301232996,-0.0579495427438012,-0.06567240902893695,-0.07084430327074567,-0.07174845215053027,-0.07292786583632893,-0.07503589463480356,-0.08320777396766244,-0.10643041040198076,-0.14552106880574348,-0.19934369077123956,-0.2892945546743941,5.0,3.2389
1_4,-0.27078330387100596,-0.2671152338629432,-0.20741313071885098,0.059550274833277635,-0.021546458116766212,-0.08129834489574743,0.11140740309777804,-0.005662810546354001,-0.001997074304896663,-0.08018923866091006,-0.0323927931987517,-0.02443700904082782,-0.0021355373688593023,-0.0020796400074673768,-0.00196394316521422,-0.057411548113699834,0.029947745377764373,-3.3129895528136686,-3.267148292079857,-2.7426210838555205,-2.3731122117753216,-2.3131239631848164,-1.4141638482066972,-0.9125652313312145,-0.7410629241334974,-0.41267855126545816,-0.1772433343369179,0.10805939212450291,0.37424998099712575,0.5079528445044863,0.6720410130832059,0.7679256290339735,0.7652517051683181,0.7911311994871488,0.8033921025714321,0.8121469240675963,0.816594541464831,0.8183490726804024,0.8191954734968898,0.8195064223789443,0.8193959295749926,0.8190420702532965,0.8185338591953247,0.817789575856489,0.8164146120351004,0.8096959750128419,0.7752110213826506,0.6193125832687345,0.37254915992407883,0.27927160102345333,0.25732252534851824,0.25389418329809943,0.25239350463163884,0.251859667956131,0.25095164413133497,0.2508181716425587,0.2503083470570679,0.24977199162729855,0.24926419763621235,0.24718012790052815,0.24217718394373527,0.22824248957624277,0.18881137003136456,0.07228418104486842,-0.02017197960431749,-0.09893425814251505,-0.11986404637551236,-0.122728995477682,-0.12402199553736638,-0.12462619009162151,-0.12591681146543118,-0.12679716876526712,-0.12739065893904525,-0.1282975858379274,-0.1350916332554113,-0.14774195793634232,2.9659,8.5904
1_5,-0.22437989479478038,-0.22122288110886082,-0.16539214007074993,0.12466654397495242,-0.09939041055996685,0.09283922511468795,0.08574133778233882,-0.004965214818876986,-0.001992453518243623,-0.14510290904366877,-0.05663316034340345,0.1223925520061604,-0.0021076954780898135,-0.0020951959149139603,-0.0019636086541226223,-0.036480214585393377,-0.034178400753990056,-3.305621916201253,-3.218980224977683,-2.8582010603283,-2.529060553146249,-2.3284121108925824,-1.6649092545885522,-1.0353771034798929,-0.8900631787064711,-0.563219529694648,-0.1928240183936205,0.005790664418874852,0.2655729488177505,0.4385771274439654,0.5847061461411043,0.7039106671338327,0.7191432686460357,0.7473602473958673,0.7644146699501598,0.7717316787534605,0.7761015788465406,0.7783939491705265,0.7793091562082761,0.7797838709137773,0.7798715591806613,0.7798600886980935,0.7794934171907105,0.7787135947436663,0.7702541480437151,0.7394921712546005,0.694307841257471,0.5465420183402512,0.3676595984032479,0.34441438525848345,0.3366776680839303,0.33556070599689075,0.33518139134369784,0.3345921585146051,0.3343039642285301,0.33394320323181814,0.33342766370290955,0.331981858693995,0.32305184228646805,0.2996118554402861,0.2908614594147017,0.24269605354269014,0.20676029330297802,0.06741223222376509,0.026397676699191925,0.0093223631756492,0.004121079926120017,0.0021992822589759625,0.0007661712546017316,-0.0009291126888991558,-0.0025943658565616007,-0.005781204606287477,-0.026065683875055323,-0.054358080551140525,-0.07076561187995108,-0.09711070966571651,6.4608,1.0
1_6,-0.17931641245923988,-0.17792372536840792,-0.041746747649538826,-0.0014466267856167762,-0.08837492133493047,0.2309285476502942,0.06479667971863722,-0.0015493796543126204,-0.001962740049145059,-0.029680722020848923,-0.0447002452625132,0.2388269010783566,-0.0020518806679540977,-0.0019742565988232993,-0.0019566334163343304,-0.054558326368897375,-0.04345992350052142,-3.412878593199739,-3.0445692047555566,-2.91905520820573,-2.63955201016461,-2.038908833526518,-1.5601734090115156,-1.012025202192852,-0.729198087754573,-0.4600027777742625,-0.17025680805633828,0.13332454462945673,0.34596650780702337,0.5037261991338307,0.6481397503281819,0.7245769119317171,0.7733106010114376,0.8011864636713235,0.8153251423979705,0.8246179410269244,0.8284763166723867,0.830217208036961,0.8312643359551983,0.8315674945250953,0.8303055089202509,0.8295585521107134,0.8197444594802412,0.7802144697633946,0.702850140071122,0.5452705154651206,0.46463339295263684,0.4198362074419747,0.39008654772205587,0.3825994868406747,0.3807999272674752,0.3794684770151827,0.37840145052126994,0.37550288830114764,0.3725000308187737,0.3670008159174759,0.3390738023041052,0.3159574594917345,0.2647616611545518,0.19365487297960238,0.15382887358039984,0.10559253433497412,0.09744033352620139,0.08557539017465529,0.06839881417467156,0.06362643762366954,0.05947813609435943,0.05001442197810811,0.043831900222014546,0.02550544264139787,0.0028056950290466995,-0.03722283633644117,-0.1185342947555349,-0.2615323902243691,-0.33982843935700335,-0.4362799677314812,5.0,1.4369
1_7,-0.21523289949488783,-0.21144066930981625,-0.23424684841446985,0.12724789591854893,-0.022355450345273666,-0.15898317258057532,0.07975769331938558,-0.007147125903400277,-0.0020052696148191496,-0.14142551392026506,-0.03824106737402662,-0.08993941124094267,-0.0021226699429292457,-0.002097588090881844,-0.0019654800151116545,-0.016273867327415942,-0.055815068832479796,-3.3230894588104847,-3.197000319045472,-2.8858358649745286,-2.558956502871258,-2.262036082750349,-1.730352464597499,-1.0079024434278332,-0.8407503232976457,-0.5884620719918376,-0.17555765763565728,0.04569243927676499,0.25021238037963345,0.4669599648210485,0.5953829392587079,0.6895348672798101,0.7202240369465376,0.746373946930234,0.7601932402026655,0.7698904630354293,0.7741439110663351,0.7761314552664074,0.7773240763107536,0.7776738450737033,0.7778528622253018,0.7777271018601166,0.7772163844856204,0.7756356399561399,0.7708784527993764,0.7430848148060534,0.6526704859005408,0.4200218598551018,0.3581426061607687,0.3475260819210009,0.3437648531572605,0.3428119611588085,0.3424663569605399,0.34219446415470123,0.34200407626369567,0.3417780818370386,0.34150563182002824,0.33933209669100955,0.3335085876169942,0.32064372749101616,0.3033840876775856,0.23006127262868503,0.09920973109106404,0.05155569188700866,0.024000009016791266,0.015538267938296272,0.01460296092963076,0.014075552647919633,0.01356531078553709,0.012568810729384084,0.011704306090379705,0.009240796261812633,-0.0028171797818464274,-0.021359227924429167,-0.05487392223190416,-0.0910169713124922,6.4881,1.3823
1_8,-0.20718639747722029,-0.20384931120498553,-0.1848382998235584,-0.1336504555272829,-0.03515242930661703,0.010033817382360857,0.07623595897688863,-0.005445884896501447,-0.0019956929696288523,0.045724159425490636,-0.030885154732287447,-0.10852793078421831,-0.0021077710619277013,-0.002130700873514591,-0.0019660237725327664,0.03276810709944625,-0.048002021819116884,-3.3390465662904725,-3.0261519943475585,-2.9489154415749628,-2.633317504989643,-2.0874774565131435,-1.9104397091514893,-1.1513638006272178,-0.8451883584866778,-0.7168291632950783,-0.3029156885380746,0.043143798859263754,0.2102318542031018,0.39273127608069747,0.5938225707409149,0.6571084420965085,0.7150965362584514,0.7535783626202142,0.7674667889717741,0.775263103322299,0.7802400178943967,0.7819628937040908,0.7829823389744291,0.7833757531157653,0.7834956572608801,0.783295160118559,0.7824072109925398,0.7822263807553195,0.7748663875078894,0.6552365326289709,0.4721123310309829,0.4115190605006525,0.4044772654343285,0.3995953477724603,0.398087818476494,0.3974083529427304,0.39622028951484145,0.3958787116341529,0.3956339222810665,0.3952454877119883,0.39484757365205186,0.3930725540529652,0.3893372439225031,0.34076968405795205,0.21383672709453636,0.1396920649560445,0.0981229256204321,0.0874972904797405,0.08444294550039992,0.08321830558505267,0.07912487561061884,0.07791971850474859,0.07758672862973519,0.07678386512314594,0.07545321337769569,0.07317905840574963,0.06603987604351556,0.027816774421054995,-0.13555946385019585,-0.34624593077920923,9.0,6.7884
1_9,-0.17035857611323632,-0.16709340913683005,-0.18390212008877216,0.06911682451798079,-0.08663121106587267,0.26992695008948425,0.05737907511837809,-0.0060511971567715475,-0.0019994338735926033,-0.10401824159643279,-0.053192877321575446,0.27170962886269934,-0.002035512379947064,-0.0020977555285159534,-0.001962935224840129,0.008985692469808612,-0.05201803206043581,-3.424780231220555,-3.02022193122113,-2.8865279863146647,-2.5927467076685993,-1.969580412147895,-1.545420850172072,-0.9560529743111195,-0.7010901112845452,-0.4447655536114783,-0.09120848937993294,0.1499954340624265,0.35059154685807514,0.5461739971808118,0.6836718605740404,0.750195386222957,0.795281721310111,0.8226457230494337,0.8383474339941672,0.8452100422727475,0.8489099080083251,0.8502575516060946,0.8506378636050291,0.8505655790914378,0.8500804117819019,0.8487896179490184,0.8455233171018557,0.8336475162931174,0.7470649313825943,0.5939312585849869,0.4490023493095444,0.37458594994010536,0.3427559969607462,0.337836007116741,0.3349886820088432,0.33019161315036133,0.3278004608825498,0.32647418936657496,0.3234219487168724,0.3215334179175027,0.3152069893267946,0.29633039852069876,0.25204026814403824,0.1907222524981659,0.14568047017639763,0.08943453315078391,0.05166260653273066,0.029039534160670885,0.02523632030554393,0.022756839482452274,0.021225051053295065,0.017319896061767925,0.013308881509538635,0.007117920130246071,-0.013593055969507425,-0.057752009014877266,-0.13412506834101795,-0.2398159336854123,-0.34287716354581643,-0.4266351994634661,1.3823,1.3823
1_10,-0.18509140513667383,-0.18296855871262202,-0.08834887511523504,0.044072111823400345,-0.1034253023237133,0.1300173219009554,0.06657254847636689,-0.003027290501550119,-0.0019770612314323785,-0.0769305949142224,-0.056429946908381906,0.153740431911473,-0.00187384881064132,-0.0020998739234143636,-0.0019617986809792876,0.0874767682253261,-0.05577930645421592,-3.4232377353354355,-2.961992353448003,-2.8782002457989444,-2.574108088295092,-1.922840096506245,-1.3649088906820563,-0.9534644816798923,-0.6784054854707633,-0.4085378678723438,-0.02894676575854646,0.16895407445527552,0.37349834663498876,0.5826858816024336,0.6893305087464957,0.7656321831100542,0.8255212734650133,0.8527282142887225,0.8628725020765805,0.8725237406396718,0.8772095646826036,0.8790047113373765,0.8799135967425986,0.8804043516919446,0.880312988205313,0.8794991303006643,0.874714692075031,0.8104660750581236,0.6182489411122492,0.48853597057935305,0.420409131523389,0.3853114998496926,0.374192372087219,0.365317191599258,0.36369406262516885,0.36229985991367264,0.36168744667682395,0.36030870001124005,0.3570077585705238,0.3528798647776564,0.3366155358699643,0.23675108923066776,0.18865623923638497,0.1374705220026594,0.11299922619977726,0.06371450074129682,0.0534127641844163,0.04429263980913433,0.04160336826479163,0.03483564187851361,0.032496246663238006,0.028472376465324474,0.024573798645174602,0.009969385981645817,-0.053727760072455576,-0.1933707787763754,-0.2903986229877067,-0.4030305740884329,-0.4556020464707987,-0.5202561763690322,6.6,1.0
