,AF3_theta,AF3_slow alpha,AF3_alpha,AF3_beta,AF3_gamma,AF4_theta,AF4_slow alpha,AF4_alpha,AF4_beta,AF4_gamma,asymmetry_theta,asymmetry_slow alpha,asymmetry_alpha,asymmetry_beta,asymmetry_gamma,F7_theta,F7_slow alpha,F7_alpha,F7_beta,F7_gamma,F8_theta,F8_slow alpha,F8_alpha,F8_beta,F8_gamma,asymmetry_theta,asymmetry_slow alpha,asymmetry_alpha,asymmetry_beta,asymmetry_gamma,F3_theta,F3_slow alpha,F3_alpha,F3_beta,F3_gamma,F4_theta,F4_slow alpha,F4_alpha,F4_beta,F4_gamma,asymmetry_theta,asymmetry_slow alpha,asymmetry_alpha,asymmetry_beta,asymmetry_gamma,FC5_theta,FC5_slow alpha,FC5_alpha,FC5_beta,FC5_gamma,FC6_theta,FC6_slow alpha,FC6_alpha,FC6_beta,FC6_gamma,asymmetry_theta,asymmetry_slow alpha,asymmetry_alpha,asymmetry_beta,asymmetry_gamma,T7_theta,T7_slow alpha,T7_alpha,T7_beta,T7_gamma,T8_theta,T8_slow alpha,T8_alpha,T8_beta,T8_gamma,asymmetry_theta,asymmetry_slow alpha,asymmetry_alpha,asymmetry_beta,asymmetry_gamma,P7_theta,P7_slow alpha,P7_alpha,P7_beta,P7_gamma,P8_theta,P8_slow alpha,P8_alpha,P8_beta,P8_gamma,asymmetry_theta,asymmetry_slow alpha,asymmetry_alpha,asymmetry_beta,asymmetry_gamma,O1_theta,O1_slow alpha,O1_alpha,O1_beta,O1_gamma,O2_theta,O2_slow alpha,O2_alpha,O2_beta,O2_gamma,asymmetry_theta,asymmetry_slow alpha,asymmetry_alpha,asymmetry_beta,asymmetry_gamma,arousal,valence
1_1,2.232672501719609,1.134219655914627,0.9559953010458626,0.2148889107653236,-0.013757204813350635,2.7878091925238087,1.8153064701924704,1.5786781958267382,0.5596859028336625,0.32116205989481705,0.564303299918353,0.6550709306802673,0.6149793099562281,0.37734671323239505,0.36755223823364197,1.2336450027954586,0.5364694228083895,0.44302866238597016,-0.14442439295706963,-0.2902227656627292,2.0128739454616653,1.0866505187262188,0.9564847222595134,0.3819134856927035,0.2540193409519493,0.7148928848171782,0.5604022412764766,0.5307136723873181,0.5412832651268797,0.5556940859198978,0.7703658928510531,0.1346179540692391,0.051313807223722474,-0.4101077417797959,-0.5207651154468517,0.9320616320590249,0.3322028098770149,0.21040117612825174,0.020578459914016977,-0.12932628460344034,0.1840380359543868,0.22363381157527623,0.18113515458274979,0.45884384198931266,0.42244187475153766,1.024206395766933,0.34824532001968134,0.2855647745117559,0.09188683671999863,0.07350271802223869,0.9930438368984946,0.5834187521438567,0.46881151550074884,0.6094377860840678,0.41596012784184694,-0.03586183625503201,0.2643257544699716,0.20789534383714628,0.5340917629043188,0.3750343600781106,1.10577658745634,0.40608102192360224,0.37132917939617394,0.2689250909829867,0.216265277448291,1.1252912221582767,0.547926004970031,0.53408640197891,0.2014602231076534,0.0829973373681526,0.022463274022815075,0.16186868932422013,0.18521845600069,-0.077515979924256,-0.15223765375743992,1.0930483469889771,0.5145505694602022,0.44188225611817533,-0.2025650875899293,-0.4284995193125877,1.1450974261920808,0.6219577766835934,0.6204920990358482,0.15687569860109335,-0.1118025137570555,0.05985209408165734,0.12303066476024059,0.20278202059368772,0.39171264642783254,0.34926895919847234,1.1014883096640697,0.8125300720392833,0.6279217325197195,-0.35160639357394574,-0.6939648368640647,1.081386225776829,0.6598252774442859,0.5925001418792227,-0.18178660653399492,-0.49979610806038494,-0.02313924824535962,-0.17401869466255554,-0.04075802147052104,0.19305860981380152,0.2198942758103065,2.9386,5.0
1_2,2.139876142874313,1.045844094207263,0.883865661579744,0.20137241684962234,-0.13736502024693847,2.3525285415860644,1.3763506970179553,1.1678493084897865,0.48093538241977507,0.20802337043888344,0.24004807026687508,0.36315010799661546,0.31577598955160835,0.3111866525600937,0.37793048612667124,1.2821548501725277,0.5798802981777125,0.46064724217956143,-0.20013954849294135,-0.344431136090574,1.8378533399227477,1.0783583785404405,0.8920809426291447,0.19868976316826623,-0.013593132023804856,0.5647439697312128,0.518213380494259,0.4595229768323282,0.4294068559072533,0.36348128518432987,0.7408601208305254,0.3509353768471322,0.28112971588266145,-0.3182081537158132,-0.5936179986499782,0.6742265761948676,0.22923574178337947,0.15818171158590055,-0.07303947730942562,-0.2385763784397872,-0.07656456430964566,-0.13920216436768118,-0.14061126996252485,0.27499627329697757,0.38741655869331965,1.0605561852190402,0.5062979914368169,0.3841131824769892,0.072317073563724,-0.059298337404688706,0.9943131366932048,0.447802282539101,0.35884511975627387,0.263196457856663,0.4172354087918154,-0.07611760916395206,-0.06724404394420112,-0.02908272867104169,0.2162874062239118,0.49949253281567774,1.0474196693150595,0.5435514966823451,0.4619697887838159,0.2177583827487836,0.1755466397878934,1.2020254936323096,0.5401557796648035,0.4906052624438447,-0.013330043550025667,-0.16077646889224373,0.17614024705591103,-0.003909443775137959,0.03295586860413308,-0.25994589751850966,-0.36894929748250554,1.0641711646916039,0.4088466485250598,0.34295905697473483,-0.21318757024079402,-0.4366646409387436,1.1839537802334128,0.6152558689982639,0.59731879762936,-0.09519644590942078,-0.31340732438404445,0.13703721901665977,0.23326293427159978,0.28474892171759125,0.13501285190655896,0.1409603205494193,1.0727741011982688,0.5909938921372508,0.4561209072636687,-0.38478258182158176,-0.7167351992106822,1.0986602917549317,0.5974355157664992,0.5788956227501563,-0.2976628274127217,-0.5632475031843869,0.02979375789163128,0.007416057311332015,0.1404157029042549,0.09996532628934476,0.17489261083937896,4.8771,6.5427
1_3,2.1643212145094157,1.1095067945309671,0.9540966207200083,0.37483380710929864,0.119553422655001,2.288344587191916,1.1915379791516285,1.0039586020517541,0.4819323855247782,0.2386906022078378,0.1418246433080559,0.09416210531697065,0.05734275185804756,0.12268070577810436,0.1363080138057455,1.074085700315733,0.4681846347403231,0.3636734900632996,-0.3362628598373554,-0.5952233748873683,1.1701640515565646,0.5480110165879101,0.42313843493892445,0.03411347082067275,-0.17253702832300286,0.11016534560358716,0.09164564273088092,0.06835478857788511,0.40231799874276136,0.45154210599977773,0.5922512510775473,-0.04277890983373359,-0.06709318290337987,-0.45486065632848416,-0.7402550326497401,0.7391598837978833,0.16277433445530973,0.08986301349886668,-0.13563967239328678,-0.2777245868291957,0.16754026737222874,0.23233086279768153,0.17876100375519477,0.35181772308603076,0.4872957731577345,0.9311929458462327,0.1946271345847541,0.13923296220736003,-0.17958998127849535,-0.425693784420351,0.9609061815938714,0.362244798283291,0.2993120877894836,0.3389292692673841,0.14608345574283538,0.03419528910297075,0.19061662592023482,0.18223926535879031,0.5348880857914953,0.5772195386549305,1.0305271248321268,0.3681143130346608,0.3049027808567742,-0.38553427225890574,-0.6288383173099085,1.0176360456319928,0.4274407028732541,0.40894791195420793,-0.24271770659095565,-0.48750997482720204,-0.014840313803689779,0.06819601479194766,0.11921672387754524,0.162957759176905,0.16128941394151675,1.0056838196822686,0.4537626721355913,0.39188556924873624,-0.4015101122066222,-0.7405824308821676,1.0513273431930024,0.5016265469169097,0.5516805046098379,-0.07162766847948845,-0.5166624758533405,0.05250073209036245,0.05504961240485938,0.18192292665080453,0.36252612174360416,0.2522341920162944,1.0117438338274123,0.6997716309451992,0.550565813563636,-0.402400653487426,-0.8216561898141771,1.0090905314759826,0.5566778430770116,0.5260187145229253,-0.33247576333179857,-0.7413677046161333,-0.0030547177192550884,-0.1632684313911532,-0.028253370782029216,0.08033054185304003,0.09217316474077016,5.0,3.2389
1_4,2.5635132576175015,1.4333247958603217,1.2840943791656307,0.5027075054797016,0.0005037115591308866,2.2671135902156583,1.6403692627873738,1.4512015658496389,0.6376917609612881,0.3502571609619815,-0.32858639884483193,0.23395437653086407,0.19005020835602643,0.1541672559768879,0.3822299499480319,1.3917238970504342,0.5370470561085467,0.44109272183812553,-0.17524063513298635,-0.34837083425976034,1.9784080330805116,1.059728830723398,0.8896003530829096,0.27265082642161387,-0.0353551213166674,0.5885502361230343,0.5383004980717563,0.4748884744794607,0.47433887917395046,0.34554223856446586,0.9349322395194233,0.3579868105340106,0.256217178964936,-0.3031099839144947,-0.6058595482233955,1.0054081393948846,0.4019400029205712,0.2936036404339309,0.023906376164091563,-0.21446938640057692,0.08096078942597434,0.050559834607887794,0.043016192648256416,0.35965666268269614,0.4223958407417054,1.0678330174488275,0.4589899522966131,0.3613698730926825,0.07746223813840002,-0.12295733706534111,1.2079759790852422,0.45228107207682067,0.38621299433294076,0.5022324366101459,0.08349159744728704,0.15995990419379694,-0.0077237301979201055,0.028593903590682125,0.4534500007969905,0.23330616845504037,1.3481678477033576,0.505546982701155,0.44708945849051507,-0.13257587082495276,-0.25243637489474147,1.3716375528140654,0.5697616749206814,0.5413348293735369,-0.04145415599423943,-0.3178463587780002,0.02701392252899438,0.0737954992030827,0.10808017872330987,0.10452457899219494,-0.07516399565130212,1.3242016814487223,0.515975975258156,0.46374624558536387,-0.3049812792146462,-0.6160304160817559,1.3779104425644437,0.652310342348118,0.6582884837711159,-0.01506674406429752,-0.45861012522197514,0.06175580852983078,0.1556843210100966,0.22030346276095814,0.32190998653090913,0.17927818870459505,1.332897184015917,0.6379647264342699,0.5313077171281686,-0.37576541924895307,-0.7621431221009414,1.329083457395321,0.6371892104792407,0.6289256216180636,-0.24654784501610377,-0.7090327709095078,-0.004390686817598111,-0.0008928455014639022,0.111915966629178,0.14767936954238017,0.061069462035450196,2.9659,8.5904
1_5,2.5715403513228696,1.4792203218167495,1.3265480866683248,0.7010249746402099,0.26849516381421745,2.5839992989195313,1.9602370800427844,1.7227288607936195,0.6153599027227202,0.3064880253852764,0.014342909847158565,0.5033560997864865,0.4269166118626528,-0.09830702113812087,0.04371302368536871,1.5388015544086144,0.6065730965591336,0.48918037261971153,-0.10271422319035631,-0.47071235530980793,2.901650813860581,1.7737116596573586,1.5513978876049248,0.23486918721506442,-0.20130502152049468,0.9168726379815257,0.872562358311976,0.8405143229161322,0.37020208986918146,0.30058870219745565,1.289363093701226,0.6071273949474133,0.42994004182863244,-0.2537782444290165,-0.6346627887834111,1.2117762264049163,0.5644543255014433,0.4236421865719583,-0.00727720567814801,-0.2025405155558227,-0.08908836297005625,-0.049089697585224946,-0.0072505467571355245,0.2764136121688669,0.4601480997846595,1.3079878919641397,0.6421911066446556,0.49092416560015495,0.003325117460270021,-0.2070000130878327,1.2843387248471716,0.5883294931107468,0.4645104536486442,0.28052549334644183,0.06950715892443904,-0.02722038386744312,-0.0619311133318592,-0.030400539178817153,0.3087279456776466,0.3080057548352374,1.5169125148472982,0.6979374018569491,0.5780014728489886,-0.2392975298172284,-0.4999861711167406,1.4635901442371517,0.687767934599789,0.6166970966039548,-0.20730192131697422,-0.48864483251544805,-0.06131264442965982,-0.01170749691311001,0.044520533791437736,0.03681965339948505,0.01305645660707727,1.4687165666651383,0.7050615831816706,0.5970009782503336,-0.18255171363813882,-0.6017663240624183,1.5143940495501707,0.8014039987356445,0.7612538162512965,-0.13535522409381207,-0.5533130891242897,0.052539721420233484,0.11046566115968358,0.18688074411852987,0.0542835529750108,0.05572605674418781,1.492492395549725,0.8582893207624323,0.7075417994897959,-0.3249572907196134,-0.7653402599852045,1.4787462419430706,0.8081381160295235,0.7350236697015471,-0.29260974482689217,-0.793868749142674,-0.015824523089726452,-0.05767463135053945,0.03162911873422182,0.037224280936472634,-0.03283283141905279,6.4608,1.0
1_6,1.8543882184699017,0.8752137413787291,0.7296729709456221,0.3078880296640398,0.030416541604085478,1.9919260530757747,0.9454799842383881,0.7793873544039475,0.5270417730180135,0.24079335000955426,0.15703598950911818,0.08072099032358167,0.05717338063459291,0.24708893193559753,0.23757761708278888,0.9736119680967779,0.5419140888754445,0.44076052719757186,-0.09011635051566658,-0.3454932096515665,1.0428402993141168,0.48217397708979265,0.39328677233183496,0.18621667357234323,0.10343836033061231,0.07953372251415698,-0.06867009915404165,-0.05460182031946156,0.30782426891114784,0.4752663935805051,0.27828258157841407,0.03627421780126552,0.06452342048844842,-0.32088629908033117,-0.5841492336786409,0.6852950805781891,0.2713456387489632,0.19146052728105356,-0.008392600118280443,-0.24437870926126515,0.43705972677666133,0.264216512011118,0.1451101538383395,0.34501289586007405,0.3723729777352707,1.0090511924807137,0.47072939353080123,0.39158929338800363,0.07574405301654351,-0.044098914500669883,1.0851303058828485,0.48613665441587367,0.48982267262536683,0.37490386612454,0.4440057116859603,0.0873660096350637,0.017736404428182407,0.11261562727792407,0.33141807081413055,0.5094237211821789,1.028347018613125,0.471670696821507,0.40430522570863264,-0.25051316372151405,-0.48256324244428095,1.0181794078200055,0.375802649418403,0.4228576638839259,-0.07196275812238784,-0.22009542089154582,-0.01170535987279815,-0.10992615646844879,0.021356036212810795,0.202716403809919,0.293303825243249,0.959594938804474,0.40942393340373473,0.4059806124333121,-0.325767825905852,-0.7039412897570978,0.981680001763546,0.48802164120992686,0.5710957500484795,-0.008788517053703739,-0.21847274951151394,0.02542089040614258,0.09024277934458978,0.18783865367489302,0.34955429244857916,0.5071729383190423,0.9230463221845717,0.5401055587186577,0.4602425739019984,-0.3927456504511453,-0.796580614358172,0.8893129875095283,0.5281714016365275,0.5299517209302029,-0.2809170973071722,-0.5627790676668858,-0.03881742253678326,-0.013738841570938727,0.08008375629692575,0.1280406975315505,0.2628560532191946,5.0,1.4369
1_7,2.3547484089275974,1.3012152559209262,1.1286374524341014,0.27754122697316486,-0.19821377613294935,1.7983598052366683,1.227564676279261,1.0961290651484434,0.4732573941697187,0.1835604241237395,-0.5652848481587843,-0.08459072713137619,-0.0374091985686849,0.22158902001110004,0.41325792800793826,0.9409558581651861,0.4995336701297619,0.4152821785141282,-0.30525588423869454,-0.7114912494776302,1.428783916184417,0.7367492790868853,0.5923911055215005,-0.04068998972460509,-0.357208569132166,0.509187903679048,0.266511265282641,0.20112450417058506,0.2955099555513394,0.3866736899037348,0.6015194896306507,0.16912014459320934,0.1273469417277606,-0.46492113332918145,-0.8567049808529075,0.724419250301042,0.3058845035985174,0.26343894843056403,-0.1453164667553197,-0.48574735153405924,0.14055682517062248,0.15616733148913817,0.15541204444623868,0.3522047183169299,0.40287876867433375,0.8329114371018613,0.32717560855126915,0.27984331150249414,-0.1333041438248685,-0.5597258606828865,0.8713697681005388,0.36671669150986147,0.3013060605445569,0.024506738022768544,-0.13634315297246857,0.044247878590912566,0.045491932971643535,0.024704875108952758,0.17971338492296815,0.45218012831927273,0.9569876116979942,0.4551516505207225,0.4349310886636848,-0.39844746100981765,-0.7196909995767834,1.010092229536776,0.4854251600247401,0.5237426168730536,-0.3192943909014593,-0.680786360244444,0.061062885884045334,0.03483955954688732,0.10189321128821739,0.090876920154197,0.04476069232681433,0.9664268024341924,0.40065526634854876,0.42953023594593964,-0.4270921388458474,-0.7825987789350105,1.0560095981672335,0.6284973182187926,0.6614274422994728,-0.18886484508291562,-0.7112343859314721,0.10277186716562332,0.25645754962366235,0.2608139105805826,0.26759294438063813,0.08197691558338303,0.9874580003528236,0.5303197016837224,0.49283404738854886,-0.39052751578902023,-0.8513964000141778,0.9997969922188362,0.6428740303104483,0.6528944639358226,-0.3481043473569932,-0.8700390217204137,0.014204833846581623,0.12886249047376908,0.18221844105864188,0.04880267768579978,-0.021459816255579058,6.4881,1.3823
1_8,2.7452010627740675,1.6131541058663184,1.4913471826962037,0.7473500953264527,0.3614659783228836,2.997110374381324,2.218995882006174,2.117802768656798,1.436155425381466,0.8895473270338152,0.28215442889459574,0.6027792440663958,0.6176728704884713,0.6601144509866338,0.5427008695263061,1.4333422052461255,0.8687589108722258,0.789010645694431,0.28978434711676476,-0.11096470412664482,1.2744896083175064,0.5900445338264885,0.48431413836775994,-0.17326301047764603,-0.4495693512036051,-0.1808737188034762,-0.31030401818454656,-0.3370802411604473,-0.48774944349202964,-0.37121625516322493,1.0790058129787328,0.34923214742874803,0.30790034591734794,-0.18082154786112956,-0.4451269164736432,1.2327246156373197,0.5018796220835275,0.4283822131299748,0.011152923539282648,-0.07961070638111377,0.17515053173708564,0.17395470031155436,0.13782705687968996,0.21748886466781547,0.3976177197354642,1.1749121171353316,0.41537849764875523,0.3717170340431453,-0.010545386478243327,-0.21026220972092385,1.1115767878502054,0.5169233401357874,0.45958818638691123,0.0887282507575737,-0.14375886214446543,-0.07278853364887623,0.11637810589188989,0.10082168607108641,0.11379791971176915,0.07641554640049303,1.2513853693413248,0.5260599290469286,0.5105169948487661,-0.16608771533745625,-0.2473094824632161,1.1968599388622867,0.5403071650607119,0.5846359837331576,-0.19850312273433016,-0.5460901606493163,-0.06269239341003233,0.016401265738315813,0.08512611988686658,-0.03730230089488419,-0.33102946314582904,1.1927025186702864,0.5363960461668597,0.5349826007515657,-0.15738675800478935,-0.46406005390158434,1.2253968252585445,0.6148150843948624,0.6633312790558081,-0.13840641559261646,-0.5845260263592537,0.037622944812828955,0.09003874978544471,0.1467006887842103,0.02184844926614011,-0.13780910494449689,1.1773185212738255,0.5460305175030575,0.5341379208398263,-0.23562199924648533,-0.6440148982991447,1.1915325395687335,0.5718235899985219,0.6091153046662626,-0.2169940329870301,-0.6665353931681037,0.01636303268970986,0.02968664658356964,0.08610713932624973,0.021442951313111403,-0.025921869535120365,9.0,6.7884
1_9,2.0631534866483094,0.9249091839639363,0.7712164594853033,0.35241050078890535,0.026878000582624694,2.5282563180049284,1.3214857675115548,1.1333834468603043,0.537232552137034,0.20343112844706565,0.489550834817498,0.42728917829633667,0.3943664386452513,0.20962994446920674,0.20051042194122054,1.2629850642313296,0.45394453658836975,0.33436638597813273,-0.2781272554187628,-0.49538993184115276,1.9414425571314124,1.049739368486867,0.8707307553449705,0.30598373355769504,-0.2903366379124677,0.6533393748666324,0.5953636751654363,0.5493935737981397,0.5866105803121847,0.23178626984410797,0.46238308541109435,0.015077294312890297,0.007169095030742619,-0.443546560162562,-0.7071099212215889,0.6630711273552922,0.10359244765043112,0.07890634760404196,-0.015452226704306527,-0.3524283378159986,0.22702508576887492,0.10155552794295672,0.0824032862071129,0.4564848646356448,0.38706420855917495,0.8762050208611555,0.2318296812390075,0.1725120574184876,-0.2208336944687692,-0.2810333755494074,0.7971022734646247,0.2461932574251403,0.17635730923934023,0.3398747641231998,0.10905983482432946,-0.09081946216113769,0.0165351709861484,0.004426980840186371,0.5686595093706314,0.4211683057686231,1.0237621872689202,0.36255204867342417,0.2946589953613559,-0.4753223361173753,-0.7335036496525338,0.9965373572829371,0.3496458212986665,0.3359648962858599,-0.04679259351963038,-0.4690302896802827,-0.03133348352685032,-0.014857749938819605,0.047519359666098285,0.45688160048778753,0.2954127213932853,1.0555902937556394,0.40694340981939214,0.39399093884688524,-0.39489373834555275,-0.8121755649820959,1.0311132897285566,0.4672445837342455,0.5005017303379182,-0.006618514195620112,-0.4624592637477511,-0.02817273515052309,0.06931297118136681,0.12201412076730753,0.4194450232963633,0.38219342939480355,0.9957894389472212,0.3450028258984148,0.3353986292760944,-0.46622494634563216,-0.8766297791932725,0.9721189447900609,0.39257878899885296,0.407257682835892,-0.32428992962617353,-0.7654720503765075,-0.027244919320433596,0.05471914032273663,0.08254256097048485,0.16196962681079657,0.12728096916428555,1.3823,1.3823
1_10,1.9281584294636656,1.0648322415368403,0.9242154665578238,0.6005665244532121,0.5180291490202966,2.3570265733217055,1.3783222033765443,1.1737434325752014,0.6624233743062408,0.4787612692951976,0.45718981928364655,0.3460229550414497,0.27962912018700836,0.07109518147776109,-0.045178042583198005,1.7465794386912117,0.732604246533071,0.5824541986530547,-0.2176365594287064,-0.540504837904376,2.435720246657879,1.4719310666707588,1.2562828173510558,0.009328006219890968,-0.4191495163759116,0.6603323271000712,0.6916861865467923,0.6502743202224711,0.2555135061956667,0.13881341857761115,0.6711119570510419,0.15614657137119875,0.09220408791622255,-0.36782858856516737,-0.6019074540562324,0.6943196151864953,0.25100847007423666,0.16097931113828345,-0.1275640723795836,-0.24523331135548251,0.026712447512581762,0.10878163722662035,0.0790153410144285,0.2697690661305848,0.3890128066846135,0.7342014246023173,0.30947028273674315,0.23143648815339546,0.00313497352473305,-0.15715542514192576,0.7394316943979431,0.3929438781355049,0.2993330241040431,0.08749236430700102,-0.06385929138127468,0.006021497853589882,0.09580775921325103,0.07800995089710902,0.09681582780533982,0.10699996787165547,1.0630335508170377,0.5397660761402833,0.4320809309909589,0.1534562401007154,0.005234008010407146,1.0102637242307202,0.445544659157665,0.4365225993926181,-0.046412197063633275,-0.250625135410303,-0.06067887138206795,-0.10805292284204532,0.005113615152066081,-0.22612992315974872,-0.286334424207531,1.0275583856468449,0.47108917320747346,0.4033438321285196,-0.19970264361189563,-0.3501015641660738,1.1840392783164309,0.520883276505435,0.562712123795635,-0.07337572517798492,-0.4303705806491106,0.17823122482381007,0.05726486099863244,0.18144794899727962,0.14442237115305584,-0.09215094093689628,1.0772380476256807,0.4398518163805929,0.3600547708459689,-0.3756068588315883,-0.6771078072077893,1.0611318368772378,0.4378650136545106,0.4283091858732275,-0.35082870056732185,-0.713103901517076,-0.018540835400226687,-0.0022873871805759293,0.07841945383447194,0.028519173191234308,-0.041418326600706684,6.6,1.0
