,mean_GSR,mean_diff1,mean_diff2,mean_diff_neg,pro_neg,local_min,ave_rise,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,sp 0-2.4,mean_SC,std_SC,mean_SCSR,std_SCSR,SCSR_diff1,SCSR_diff2,mean_SCVSR,std_SCVSR,SCVSR_diff1,SCVSR_diff2,ZC_SCSR,ZC_SCVSR,arousal,valence
1_1,375536.31926182617,6.778334215386727,-1.1047207723797252,108.65874804104877,0.2610158365471404,12,575.6666666666666,0.32648568808761347,0.06193480871793336,0.02135796756409354,0.0037349643721072,0.0019177497715159746,0.0001451749935717307,8.409749675249641e-05,3.2497864213155917e-05,1.6964158700430122e-05,4.312079365221618e-06,3.0664372821852346e-06,3.1181086458115463e-06,0.2668794188262864,0.012860990870053065,0.26008667430857085,0.04231876472227795,2.0705087492469764e-05,-5.024292031547139e-10,0.24945904955310721,0.06319897809282529,2.113766642834719e-05,-2.2833236823016753e-09,0.2780668714000807,0.2815084387592334,2.9386,5.0
1_2,414507.74526951305,6.32719756289634,-3.2489125299469173,98.94600271351285,0.4239810822089303,6,663.0,0.2491709460848432,0.01552167950865218,0.0048361930952245565,0.00035730849707742753,0.00032963005298623316,0.0001802330197583053,4.777608063239833e-05,1.3432803461260712e-05,3.988934316079179e-06,9.960222230981293e-07,4.3715101751167285e-06,1.031333721511812e-06,0.24250809553685476,0.017269366019388683,0.2303893175566807,0.05099422312936558,3.631438254462972e-05,4.048869820360007e-09,0.21233350043584331,0.07436521747043068,3.623752697955824e-05,-8.360407275947807e-10,0.2549856550850616,0.24937547373803315,4.8771,6.5427
1_3,357736.80402440106,10.018563501646693,-0.9940135369831091,79.8773241947968,0.2333611449842757,10,527.0,0.1341577393571133,0.006782880576134343,0.0023227669635717155,0.0007511254806501377,0.00011969298223459369,4.0531605290664266e-05,8.159580634949268e-06,2.5841953618679176e-06,1.7244774879266065e-06,1.8543677820803002e-06,7.962522295302523e-07,9.055241149591245e-07,0.283051077576566,0.033016094900824265,0.27794121480483774,0.049999043463237636,1.557422686144739e-05,-4.010279632878322e-10,0.26983542269280447,0.06624669700744247,1.5899155256510232e-05,-9.322144056573918e-10,0.33411840956997907,0.31449326932165367,5.0,3.2389
1_4,270790.4620567907,13.938135522642265,-1.4433082465823823,124.68254829377727,0.2304265402843602,8,530.75,0.13477091327575497,0.004337589440047289,0.002663741961431061,0.000549923681611931,0.0008850279294158722,5.849393481820023e-05,2.6653998299245292e-05,2.15984580129119e-05,2.4636908186176964e-05,9.965548811311245e-06,9.501329145958226e-06,7.507845960518797e-06,0.37565413428807837,0.04906392743178969,0.36612430714557614,0.07772247078474633,2.9141554191423432e-05,-1.8587605513453676e-09,0.35103850484283217,0.10654985745399419,2.9444536258770704e-05,3.233384896499079e-10,0.42520605668689565,0.46346141240692273,2.9659,8.5904
1_5,292852.90762627905,7.712806876949602,-0.9447149157599913,118.68425969198653,0.24898823236411183,17,538.5882352941177,0.34658855337127814,0.03568749068940652,0.008893331875167776,0.003423575330064954,0.001235136823960965,0.00022452230253829566,7.214737650317564e-05,8.933191665178725e-05,6.839348648904148e-05,1.588324569803783e-05,3.629116895098633e-05,3.366167351013409e-05,0.3452667394365611,0.03741565709696242,0.3392286816467478,0.05913111431597148,1.852645791598767e-05,-9.902507706277903e-10,0.32941841969362173,0.08025235298503536,1.925680600605635e-05,-1.58073735049122e-10,0.3690704050175136,0.37856950313427157,6.4608,1.0
1_6,476171.2884719458,-1.6767991462054928,-3.051357191469601,244.13812570178462,0.27824137501556856,4,855.0,0.5510086528777742,0.006796546174023515,0.0019711619961716004,0.0004392500610933782,0.00013036916309353084,3.4215092927671116e-05,7.3767196144764436e-06,1.317454980256686e-06,1.6393302640635199e-06,4.036816824248881e-07,8.055572392112373e-07,7.961210795303899e-07,0.212573998375521,0.024706147718434945,0.20280761337789416,0.04542636478078991,2.414802212209813e-05,1.1033883242194642e-08,0.1907850770954682,0.06489857639322022,2.3814382523687407e-05,-1.5624867005435378e-10,0.23110618074062642,0.2384286795250591,5.0,1.4369
1_7,299125.88924245664,8.549225380923168,-0.7229963446744212,72.68148562198031,0.19744998591152438,9,644.1111111111111,0.2740460721438299,0.013278578649206434,0.0026203078702045583,0.0010519938973096985,0.00029318083806775184,4.769599866604046e-05,3.550870689638619e-05,2.3133896916387498e-05,1.6757294640999298e-05,1.4298423038185243e-05,9.125505264659794e-06,7.474615695516718e-06,0.33775625757080285,0.03537513489502572,0.33109745774535826,0.058564631452797236,2.0285982492501404e-05,-3.9682721897597267e-10,0.32059731707277817,0.08012354097738461,2.0498957953235135e-05,-5.687560854753605e-10,0.36598611686179533,0.3829591377074497,6.4881,1.3823
1_8,261005.3382573142,4.639497371326424,-1.3599720952927135,162.0589482440652,0.24956135824130457,8,805.875,1.002437398808251,0.10087543292815963,0.03849139242583327,0.013484394314012377,0.008369852143006304,0.0008731097992837409,0.0013348085305012072,0.00037304162821766296,0.0011510041562714304,0.00032199718690151995,0.0007360917324192147,0.0003261344365938412,0.3862453971588653,0.035113018823349954,0.3728385420028377,0.07440184859488261,4.0980745656963174e-05,-1.592763685638445e-09,0.35157267336056414,0.10579230198702057,4.18715547951698e-05,5.022084272615641e-10,0.42453490006796085,0.4170758846479877,9.0,6.7884
1_9,472462.0602258407,8.791269824408705,-1.272991929750795,163.34005527697738,0.30311728861358717,17,603.3529411764706,1.9762219816581683,0.01271326214667699,0.002381546060907207,0.0014103874595367291,0.0002790179591817484,0.00023390561663715731,7.179428811685168e-05,3.661325866223945e-05,6.704004778054789e-06,5.330705752451666e-06,8.190756065870283e-07,3.652733508020409e-06,0.2171699084490073,0.0360857956435168,0.21364077762754702,0.04455606197151524,1.0843194184907257e-05,-8.370664964240423e-10,0.207797621138461,0.05441790401777295,1.1581447718666337e-05,-5.72173917603791e-10,0.25643831273934853,0.2525515310611253,1.3823,1.3823
1_10,546962.0739002824,9.601538900452788,-3.1296686210353473,344.0977082007394,0.27070177528893125,4,1175.5,1.0488291897790087,0.005225847434252447,0.000872335358322539,0.00015339487750096908,7.839845048643191e-05,4.890175689238932e-05,3.932127000845834e-05,3.851039754540448e-05,3.052088510008078e-05,4.056859178795557e-05,3.2938972462515396e-05,2.439893916967481e-05,0.19544514673620095,0.055938579611838,0.18337139407474995,0.06130392132038825,3.342873512674775e-05,6.408254122328961e-09,0.16534757903135258,0.06545932985740223,3.7902977664308516e-05,-2.4186491547342502e-09,0.2820740205284647,0.2760795547168883,6.6,1.0
